,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
668,44,28,43,12,15,3,8,8,12
669,50,27,40,10,13,3,8,8,12
670,49,30,41,14,10,3,8,3,11
671,46,24,41,12,14,3,8,9,13
672,49,27,39,12,12,8,10,8,10
673,51,29,36,13,10,3,9,3,12
674,48,28,39,12,14,3,9,7,11
675,47,27,39,12,14,3,9,3,13
676,51,27,42,13,11,3,3,8,11
677,45,29,38,13,14,3,8,8,12
678,45,30,41,13,14,3,8,3,12
679,48,26,38,14,14,3,8,8,11
680,49,28,40,12,13,3,3,7,12
681,44,30,40,13,10,7,9,8,12
682,51,25,41,14,14,3,7,3,11
683,51,32,36,13,10,3,8,3,11
684,47,28,39,12,13,3,8,8,12
685,54,22,36,13,13,8,9,7,11
686,52,28,38,12,10,7,8,3,11
687,50,26,39,11,15,3,8,3,12
688,45,30,40,14,10,7,8,3,13
689,53,29,37,12,11,3,8,7,11
